,id,n_pulses,n_emitters,n_types,min_ToA,min_Frequency,min_PulseWidth,min_AoA,min_Amplitude,max_ToA,max_Frequency,max_PulseWidth,max_AoA,max_Amplitude,mean_ToA,mean_Frequency,mean_PulseWidth,mean_AoA,mean_Amplitude,std_ToA,std_Frequency,std_PulseWidth,std_AoA,std_Amplitude
0,config_0,27171,14,15,1283506.13632086,149.8575270965489,0.0077877330907985,-171.80905117797104,-182.82570634691567,28549532.30008792,11992.728808828384,107.0327053592315,132.83466240260412,-39.37213551319601,17087259.798129752,3027.9054336975964,28.046924042275275,98.85126212694874,-81.98512834315905,6442718.912078307,3000.2465684162494,29.853087866188556,48.413536983428294,18.566284195484545
1,config_1,85428,32,34,1150083.146920967,9.96585605457332,0.1626930243969624,-171.9107351887076,-159.62209956548733,29298742.24452495,11405.086652789589,350.11300519882514,146.9374469037724,-6.924710376196777,13586976.16286855,6009.942296000098,12.879763878988529,42.58611932047047,-90.4289302439422,6753482.752815358,3571.471837095654,54.172588764266706,80.41653655506016,18.28188839763093
2,config_2,179302,75,51,20723.520354631277,5.920321941387428,0.0069433346752967,-179.99759014312485,-162.02135439973796,29353546.559667688,11402.150831005663,349.8363259025946,179.9993214614977,2.4433325361965363,14510959.19514398,4537.802234249728,17.818243308137834,61.350588534402895,-84.5497629672998,6362700.233958579,3255.0611145101784,45.66250501185592,66.07778106677387,18.81422393491849
3,config_3,158978,64,51,114301.63328644724,21.857019491465387,0.0069132244586627,-179.9927338207711,-174.29069043016509,29374370.857769605,16063.571329828404,357.487240946243,179.9923577617742,-4.460467483806393,13902656.329039924,4728.196026204656,10.885429154407412,19.32185065748613,-80.08291319309797,7080653.734427264,3807.861586600342,27.922986201547808,130.10778458619828,21.49700677222193
4,config_4,51195,38,37,200480.84721066017,14.971751372295332,0.0458408094596948,-179.99883047278144,-162.11243382378612,29312907.60983942,11404.097651658542,341.90446755769597,179.99961089471014,-11.97227065533798,13289851.84148133,4672.231683797191,2.8968610265930477,-54.914076777216,-95.36655194775854,6764135.359666782,3509.264633490395,22.65252276350094,104.26793704450766,14.530442137665686
5,config_5,19812,4,6,4650010.617878303,388.37633191369787,0.2471919879510911,-176.44494680505417,-141.69767876542173,20699083.7705006,9402.479734668692,108.19777189304722,38.47520304626645,-20.075657700585488,10945548.78056659,4910.477463862266,9.902715338444082,-66.75447223261696,-75.34948881742544,4736653.332978616,2048.757222074102,26.619384142612276,68.99542434613507,19.97837749227729
6,config_6,117165,63,45,355184.45873554127,337.66827350705364,0.0292522638716455,-179.81140357082333,-168.16153005340203,28749581.640287153,10009.530708727214,211.8160748089887,179.99035896861943,-22.52638926641878,14834398.332952404,4135.041349751699,2.834989806217787,56.76962327661805,-91.8688360534006,6164142.851543397,2428.9284272485256,14.24524100401375,80.8171878776868,11.00508237308267
7,config_7,51744,39,33,600031.7166811224,149.94233458963456,0.0077975710452343,-163.31111323263906,-172.31735902581008,28737558.722571027,11997.445095893709,52.75382842481108,159.52126090757588,-19.115338356672417,17549303.41333562,4017.568274977811,12.792420200145283,59.26155820294046,-83.05856652041074,6348571.391969022,2838.8377324635485,18.23345461074972,78.94308795099437,19.027709222761228
8,config_8,27450,17,19,366875.22974441055,9.393521116521026,0.0087193209933864,-179.76530691555337,-172.69064480419993,28549582.298020378,11948.74849085571,349.14738860084674,179.91983028522597,13.804136697840493,17785511.139064822,3937.246324771036,41.96008128802681,23.544810839152458,-79.7012199005733,6215690.179680161,3367.3441099710785,75.22523401867377,81.47668667055804,28.03854464856415
9,config_9,51002,16,19,250024.26011958127,426.0045174483922,0.0450880479483622,-147.1828830802012,-161.78371236743226,28299854.30208329,11993.280800865869,208.75667456289892,152.8234298863647,-35.23902133618706,13398664.875686163,2859.2226684482557,0.8109199496913202,18.190088519291287,-91.2613993814382,8461945.72601759,2759.3358660172366,6.996851092302325,52.437259738428594,10.796287312054323
